date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2019-10-27,16:30 (09:30),Premier League,Matchweek 10,Sun,Away,W,3,1,Norwich City,4.2,1.0,54,"27,108",Ashley Young,4-2-3-1,Stuart Attwell,Match Report,
2019-10-30,20:05 (13:05),EFL Cup,Fourth round,Wed,Away,W,2,1,Chelsea,,,35,"38,645",Harry Maguire,3-4-1-2,Paul Tierney,Match Report,
2019-11-02,12:30 (05:30),Premier League,Matchweek 11,Sat,Away,L,0,1,Bournemouth,0.8,1.9,57,"10,669",Ashley Young,4-2-3-1,Chris Kavanagh,Match Report,
2019-11-07,20:00 (13:00),Europa Lg,Group stage,Thu,Home,W,3,0,rs Partizan,3.0,0.1,63,"62,955",Ashley Young,4-2-3-1,Mattias Gestranius,Match Report,
2019-11-10,14:00 (07:00),Premier League,Matchweek 12,Sun,Home,W,3,1,Brighton,3.6,0.8,42,"73,556",Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
2019-11-24,16:30 (09:30),Premier League,Matchweek 13,Sun,Away,D,3,3,Sheffield Utd,1.3,1.3,59,"32,024",Harry Maguire,3-4-3,Andre Marriner,Match Report,
2019-11-28,21:50 (08:50),Europa Lg,Group stage,Thu,Away,L,1,2,kz Astana FK,1.5,1.4,65,"28,949",Jesse Lingard,4-2-3-1,Donatas Rumšas,Match Report,
2019-12-01,16:30 (09:30),Premier League,Matchweek 14,Sun,Home,D,2,2,Aston Villa,1.7,1.2,62,"73,381",Harry Maguire,4-2-3-1,Craig Pawson,Match Report,
2019-12-04,19:30 (12:30),Premier League,Matchweek 15,Wed,Home,W,2,1,Tottenham,1.4,0.9,47,"73,252",Ashley Young,4-2-3-1,Paul Tierney,Match Report,
2019-12-07,17:30 (10:30),Premier League,Matchweek 16,Sat,Away,W,2,1,Manchester City,1.4,2.2,28,"54,403",Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
2019-12-12,20:00 (13:00),Europa Lg,Group stage,Thu,Home,W,4,0,nl AZ Alkmaar,1.6,0.9,50,"65,773",Ashley Young,4-2-3-1,Sandro Schärer,Match Report,
2019-12-15,14:00 (07:00),Premier League,Matchweek 17,Sun,Home,D,1,1,Everton,1.4,0.3,66,"63,328",Harry Maguire,4-2-3-1,Michael Oliver,Match Report,
2019-12-18,20:00 (13:00),EFL Cup,Quarter-finals,Wed,Home,W,3,0,Colchester Utd,,,74,"57,559",Ashley Young,4-2-3-1,David Coote,Match Report,
2019-12-22,14:00 (07:00),Premier League,Matchweek 18,Sun,Away,L,0,2,Watford,1.8,1.5,63,"21,488",Harry Maguire,4-2-3-1,Lee Mason,Match Report,
2019-12-26,17:30 (10:30),Premier League,Matchweek 19,Thu,Home,W,4,1,Newcastle Utd,1.9,0.8,72,"73,206",Harry Maguire,4-2-3-1,Kevin Friend,Match Report,
2019-12-28,19:45 (12:45),Premier League,Matchweek 20,Sat,Away,W,2,0,Burnley,2.2,0.5,61,"21,924",Ashley Young,4-2-3-1,Mike Dean,Match Report,
