date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2023-01-27,20:00 (13:00),FA Cup,Fourth round proper,Fri,Home,W,1,0,Arsenal,,,54,"51,589",İlkay Gündoğan,3-2-4-1,Paul Tierney,Match Report,
2023-02-05,16:30 (09:30),Premier League,Matchweek 22,Sun,Away,L,0,1,Tottenham,1.3,1.4,64,"61,747",Kyle Walker,4-4-2,Andy Madley,Match Report,
2023-02-12,16:30 (09:30),Premier League,Matchweek 23,Sun,Home,W,3,1,Aston Villa,3.3,0.3,67,"53,392",İlkay Gündoğan,3-2-4-1,Robert Jones,Match Report,
2023-02-15,19:30 (12:30),Premier League,Matchweek 12,Wed,Away,W,3,1,Arsenal,1.8,1.6,37,"60,276",İlkay Gündoğan,4-1-4-1,Anthony Taylor,Match Report,
2023-02-18,15:00 (08:00),Premier League,Matchweek 24,Sat,Away,D,1,1,Nott'ham Forest,2.4,0.9,73,"29,365",İlkay Gündoğan,3-2-4-1,Graham Scott,Match Report,
2023-02-22,21:00 (13:00),Champions Lg,Round of 16,Wed,Away,D,1,1,de RB Leipzig,1.2,0.8,62,"45,228",İlkay Gündoğan,3-2-4-1,Serdar Gözübüyük,Match Report,Leg 1 of 2
2023-02-25,17:30 (10:30),Premier League,Matchweek 25,Sat,Away,W,4,1,Bournemouth,2.4,1.0,66,"10,481",İlkay Gündoğan,3-2-4-1,Paul Tierney,Match Report,
2023-02-28,20:00 (13:00),FA Cup,Fifth round proper,Tue,Away,W,3,0,Bristol City,,,70,"25,713",Kevin De Bruyne,3-2-4-1,Andre Marriner,Match Report,
2023-03-04,12:30 (05:30),Premier League,Matchweek 26,Sat,Home,W,2,0,Newcastle Utd,1.3,0.4,56,"53,419",İlkay Gündoğan,4-2-3-1,Simon Hooper,Match Report,
2023-03-11,17:30 (10:30),Premier League,Matchweek 27,Sat,Away,W,1,0,Crystal Palace,2.1,0.2,67,"25,844",İlkay Gündoğan,4-2-3-1,Robert Jones,Match Report,
