date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2019-02-09,15:00 (08:00),Premier League,Matchweek 26,Sat,Home,L,1,2,Cardiff City,1.5,0.8,66,"31,438",Pierre Højbjerg,3-5-2,Martin Atkinson,Match Report,
2019-02-24,14:05 (07:05),Premier League,Matchweek 27,Sun,Away,L,0,2,Arsenal,0.8,2.1,38,"59,877",Pierre Højbjerg,3-5-1-1,Graham Scott,Match Report,
2019-02-27,19:45 (12:45),Premier League,Matchweek 28,Wed,Home,W,2,0,Fulham,1.3,0.8,41,"27,597",Pierre Højbjerg,3-4-3,Anthony Taylor,Match Report,
2019-03-02,15:00 (08:00),Premier League,Matchweek 29,Sat,Away,L,2,3,Manchester Utd,0.4,2.2,36,"74,459",Pierre Højbjerg,3-4-3,Stuart Attwell,Match Report,
2019-03-09,15:00 (08:00),Premier League,Matchweek 30,Sat,Home,W,2,1,Tottenham,2.1,1.3,37,"31,890",Pierre Højbjerg,3-4-3,Kevin Friend,Match Report,
2019-03-30,15:00 (08:00),Premier League,Matchweek 32,Sat,Away,W,1,0,Brighton,0.7,0.7,40,"30,636",Pierre Højbjerg,4-2-2-2,Michael Oliver,Match Report,
2019-04-05,20:00 (12:00),Premier League,Matchweek 33,Fri,Home,L,1,3,Liverpool,0.9,1.9,33,"31,797",Pierre Højbjerg,3-4-3,Paul Tierney,Match Report,
2019-04-13,15:00 (07:00),Premier League,Matchweek 34,Sat,Home,W,3,1,Wolves,2.9,0.8,31,"31,708",Pierre Højbjerg,3-4-3,Jonathan Moss,Match Report,
2019-04-20,17:30 (09:30),Premier League,Matchweek 35,Sat,Away,L,1,3,Newcastle Utd,1.2,1.4,56,"52,191",Pierre Højbjerg,3-4-3,Anthony Taylor,Match Report,
2019-04-23,19:45 (11:45),Premier League,Matchweek 31,Tue,Away,D,1,1,Watford,2.0,1.3,38,"19,170",Pierre Højbjerg,3-4-3,Mike Dean,Match Report,
2019-04-27,15:00 (07:00),Premier League,Matchweek 36,Sat,Home,D,3,3,Bournemouth,2.5,2.3,44,"31,310",Pierre Højbjerg,4-3-3,Graham Scott,Match Report,
2019-05-04,15:00 (07:00),Premier League,Matchweek 37,Sat,Away,L,0,3,West Ham,0.5,1.9,44,"59,961",Pierre Højbjerg,4-4-2,Stuart Attwell,Match Report,
2019-05-12,15:00 (07:00),Premier League,Matchweek 38,Sun,Home,D,1,1,Huddersfield,0.6,0.7,53,"30,367",Pierre Højbjerg,4-4-2,Lee Probert,Match Report,
2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,3,Burnley,1.2,0.9,53,"19,784",James Ward-Prowse,3-4-3,Graham Scott,Match Report,
2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,L,1,2,Liverpool,1.9,1.3,37,"31,712",Pierre Højbjerg,3-5-2,Andre Marriner,Match Report,
2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,0,Brighton,1.7,0.8,49,"30,019",Pierre Højbjerg,4-2-2-2,Kevin Friend,Match Report,
2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,1,0,Fulham,,,40,"8,467",Pierre Højbjerg,4-2-2-2,Robert Jones,Match Report,
2019-08-31,12:30 (04:30),Premier League,Matchweek 4,Sat,Home,D,1,1,Manchester Utd,0.9,1.5,41,"30,499",Pierre Højbjerg,4-2-2-2,Mike Dean,Match Report,
2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,1,0,Sheffield Utd,1.6,1.8,51,"30,985",Pierre Højbjerg,3-4-3,Lee Mason,Match Report,
2019-09-20,20:00 (12:00),Premier League,Matchweek 6,Fri,Home,L,1,3,Bournemouth,2.5,1.2,65,"30,168",Pierre Højbjerg,4-2-2-2,Chris Kavanagh,Match Report,
2019-09-24,19:45 (11:45),EFL Cup,Third round,Tue,Away,W,4,0,Portsmouth,,,62,"18,707",Pierre Højbjerg,4-3-3,Kevin Friend,Match Report,
